timestamp,p_G_I_x,p_G_I_y,p_G_I_z,q_I_G_w,q_I_G_x,q_I_G_y,q_I_G_z,p_C_I_x,p_C_I_y,p_C_I_z,q_I_C_w,q_I_C_x,q_I_C_y,q_I_C_z,sun_az,sun_el
68.0,-6634615.01788299,-434684.284129137,-313502.58266572776,0.6112127419660612,-0.4466396587980113,-0.3519881959704344,-0.550487337860374,-6634661.949452103,-434677.3295213838,-313504.3162492487,-0.21784148171477669,-0.6392196121474543,0.3195703779282904,0.6646940272329357,344.22,-4.748
68.10000000000001,-6634553.853033343,-435322.1894675293,-313962.65246716805,0.612540713326436,-0.4476353689089277,-0.3484953999193541,-0.5504247516730655,-6634600.784422496,-435315.2269670563,-313964.38993828377,-0.21760734983563684,-0.6393486374815488,0.3194515491335245,0.664703745139283,344.22,-4.748
68.2,-6634492.598506847,-435960.0889188711,-314422.7180167428,0.6138625109564051,-0.44861927035355226,-0.3449971342070139,-0.5503549266597769,-6634539.5297205,-435953.11852906545,-314424.45938381756,-0.21737252288527437,-0.6394783015443923,0.31933219128858426,0.66471320112754,344.22,-4.748
68.3,-6634431.254304378,-436597.98247459356,-314882.7793082468,0.6151781036782897,-0.44959134678407636,-0.3414934564628037,-0.5502778760269651,-6634478.185347037,-436591.00419879623,-314884.5245796364,-0.21713699857972188,-0.6396086014602319,0.3192123041496825,0.66472239744372,344.22,-4.748
68.4,-6634369.820426807,-437235.8701261285,-315342.8363354757,0.6164874604201204,-0.45055158209592305,-0.3379844244006743,-0.5501936130837517,-6634416.751303038,-437228.883967633,-315344.5855195265,-0.21690077468223373,-0.6397395343090092,0.3190918874852491,0.6647313363483324,344.22,-4.748
68.5,-6634308.296875013,-437873.7518649073,-315802.88909222506,0.6177905502162595,-0.45149996042783413,-0.3344700958180577,-0.5501021512415779,-6634355.227589427,-437866.75782696134,-315804.64219727495,-0.2166638489883374,-0.6398710971372786,0.31897094109240864,0.6647400201029853,344.22,-4.748
68.60000000000001,-6634246.6836498715,-438511.6276823623,-316262.9375722914,0.6190873422080237,-0.45243646616194994,-0.3309505285947861,-0.550003504013857,-6634293.614207134,-438504.62576816574,-316264.69460666773,-0.2164262193326665,-0.6400032869376059,0.31884946478724774,0.6647484509927908,344.22,-4.748
68.7,-6634184.980752263,-439149.49756992527,-316722.9817694716,0.6203778056443013,-0.4533610839238849,-0.3274257806920114,-0.549897685015627,-6634231.91115709,-439142.48778263177,-316724.742741492,-0.2161878835960075,-0.6401361006725836,0.31872745840147065,0.664756631302703,344.22,-4.748
68.8,-6634123.188183072,-439787.36151902936,-317183.02167756343,0.6216619098821682,-0.45427379858279837,-0.32389591015112335,-0.5497847079632014,-6634170.118440229,-439780.34386174445,-317184.7865955342,-0.21594883968576845,-0.6402695352491007,0.3186049217979574,0.6647645633413294,344.22,-4.748
68.9,-6634061.305943177,-440425.2195211066,-317643.0572903645,0.6229396243874991,-0.45517459525146003,-0.32036097509266875,-0.5496645866738212,-6634108.236057481,-440418.19399688946,-317644.8261625814,-0.21570908556387558,-0.6404035875497522,0.31848185484791597,0.6647722494127102,344.22,-4.748
69.0,-6633999.334033464,-441063.07156759023,-318103.08860167366,0.6242109187355781,-0.4560634592863103,-0.31682103371526876,-0.5495373350653031,-6634046.264009784,-441056.03817945207,-318104.86143642047,-0.21546861922305757,-0.6405382544037778,0.31835825745004914,0.6647796918429734,344.22,-4.748
